Users
First Name;Last Name;Password;Email;UID;Balance;Tickets
Janae;Summer;froggy;nUOnJSbaErEuW0R8Ro@apple.com;U0;0;T0,T1
Elisa;Valery;fluffy;tWmAAcEvOm60xMZmp3@yahoo.co.uk;U1;0;
Jeremy;Felipe;poopoo;1brIrkZof1uHlgaBNc@apple.com;U2;0;
Karina;Josie;loveyou;a9T2WK3tnQfL0NeKUN@outlook.com;U3;0;T1,T2,T3,T4
Callie;Jaslyn;winter;muPwReepZh5aapus3s@gmail.com;U4;0;T4,T5
Maya;Izayah;1q2w3e;m0B8sWIhnRuS0iWneB@apple.com;U5;0;T5,T6
Kiana;Edward;fktrcfylh;dU0kevqvjlPDMzt6CH@yahoo.co.uk;U6;0;T6,T7,T8
Zackary;Jovanni;tits;9dGDCmueFS7aFICAhq@apple.com;U7;0;
Isai;Andrew;test;FjYhFCVSup0TCAaBmO@gmail.com;U8;0;T8
Paul;Waylon;nelson;CV9aeMPM9yfLUaWrr1@gmail.com;U9;0;T8,T9,T10,T11
Javier;Rihanna;reddog;hoAB2bso7LeKE9R4Bw@gmail.com;U10;0;T11
Karlee;Ramiro;alexander;OwUKmlj7TfacuLR1It@gmail.com;U11;0;T11
Justin;Eric;sniper;DypppE0YxXTyUmiu2i@apple.com;U12;0;T11,T12,T13
Evelin;Odin;Password;Yu20C4y1x3XX3G1F1D@yahoo.co.uk;U13;0;T13,T14,T15,T16
Megan;Sawyer;8675309;WUPFVzNHQyHRi6d43J@gmail.com;U14;0;T16,T17,T18,T19,T20
Lawson;Alannah;1985;vKcyjRwna5vjwwWnhs@yahoo.co.uk;U15;0;T20,T21,T22,T23,T24
Danica;Jaiden;howard;7pdFNHINTihP72iUkn@gmail.com;U16;0;T24,T25
Nick;Jewel;hotdog;3ZqHbOFwXXwCVPd9GY@gmail.com;U17;0;
Ariana;Jayden;helpme;olrjanUZtpQ7DS4e9s@gmail.com;U18;0;T25,T26
Ross;Ryleigh;newport;FNlJmLxmQXFJaOw3UU@yahoo.co.uk;U19;0;T26
Julio;Tatiana;maverick;nkYN1m4irjLJgeVi4o@outlook.com;U20;0;T26,T27,T28,T29
Taryn;Gael;1234567890;6bYizhwysBBC0kREzn@gmail.com;U21;0;T29,T30,T31,T32,T33
Priscilla;Deon;manutd;kWc1irRgX0fHSKJYiK@gmail.com;U22;0;T33,T34,T35
Leon;Elias;kristina;1y8k7YwFHzwUEvNwFa@yahoo.co.uk;U23;0;T35,T36,T37,T38
Devan;Selena;infinity;t6nQBzPlcYTsz9rrYa@gmail.com;U24;0;
